#Delay (ns)	3-1-2	3-1	3-2
-16.312487	1.59697E-7	0.03282	0.08329
-16.231532	4.32512E-7	0.07333	0.03758
-16.150577	2.79469E-7	0.03375	0.08498
-16.069622	4.59128E-7	0.07366	0.04097
-15.988666	1.92967E-7	0.03457	0.08309
-15.907711	3.79279E-7	0.07141	0.04024
-15.826756	1.53043E-7	0.03299	0.08442
-15.745800	4.65782E-7	0.07457	0.03795
-15.664845	1.46389E-7	0.03290	0.08521
-15.583890	4.12550E-7	0.07432	0.03822
-15.502935	1.33080E-7	0.03291	0.08412
-15.421979	3.72625E-7	0.07444	0.04053
-15.341024	1.73005E-7	0.03282	0.08637
-15.260069	4.99052E-7	0.07281	0.03932
-15.179114	2.66161E-7	0.03145	0.08321
-15.098158	3.92587E-7	0.07740	0.04059
-15.017203	1.59697E-7	0.03250	0.08403
-14.936248	4.52474E-7	0.07345	0.04053
-14.855292	1.26426E-7	0.03266	0.08221
-14.774337	4.12550E-7	0.07569	0.03959
-14.693382	1.73005E-7	0.03248	0.08259
-14.612427	3.65971E-7	0.07181	0.03935
-14.531471	2.32891E-7	0.03425	0.08366
-14.450516	3.92587E-7	0.07259	0.03927
-14.369561	1.79659E-7	0.03334	0.08358
-14.288606	3.52663E-7	0.07272	0.03799
-14.207650	1.46389E-7	0.03413	0.08516
-14.126695	4.99052E-7	0.07372	0.04006
-14.045740	2.06275E-7	0.03333	0.08425
-13.964784	5.45630E-7	0.07283	0.03978
-13.883829	1.46389E-7	0.03398	0.08333
-13.802874	4.52474E-7	0.07174	0.03923
-13.721919	1.39735E-7	0.03333	0.08473
-13.640963	3.72625E-7	0.07548	0.03854
-13.560008	1.86313E-7	0.03419	0.08369
-13.479053	4.65782E-7	0.07296	0.03707
-13.398098	2.52853E-7	0.03562	0.08516
-13.317142	3.65971E-7	0.07307	0.03759
-13.236187	1.99621E-7	0.03536	0.08457
-13.155232	4.79090E-7	0.07333	0.03796
-13.074276	1.99621E-7	0.03404	0.08957
-12.993321	4.19204E-7	0.07096	0.03692
-12.912366	1.59697E-7	0.03546	0.08555
-12.831411	4.05896E-7	0.07502	0.03725
-12.750455	1.39735E-7	0.03559	0.08418
-12.669500	3.72625E-7	0.07164	0.03746
-12.588545	2.26237E-7	0.03501	0.08399
-12.507590	3.26047E-7	0.07359	0.03735
-12.426634	1.99621E-7	0.03422	0.08415
-12.345679	4.52474E-7	0.07213	0.03984
-12.264724	2.19583E-7	0.03318	0.08446
-12.183768	3.46009E-7	0.07360	0.03753
-12.102813	1.92967E-7	0.03400	0.08424
-12.021858	4.85744E-7	0.07283	0.03783
-11.940903	1.79659E-7	0.03266	0.08226
-11.859947	4.92398E-7	0.07321	0.03966
-11.778992	2.12929E-7	0.03369	0.08323
-11.698037	4.99052E-7	0.07292	0.03917
-11.617082	1.66351E-7	0.03245	0.08543
-11.536126	4.32512E-7	0.07418	0.03924
-11.455171	1.73005E-7	0.03364	0.08345
-11.374216	5.12360E-7	0.07588	0.03810
-11.293260	2.19583E-7	0.03178	0.08412
-11.212305	3.39355E-7	0.07257	0.03880
-11.131350	2.39545E-7	0.03327	0.08199
-11.050395	3.59317E-7	0.07330	0.03948
-10.969439	1.33080E-7	0.03124	0.08448
-10.888484	3.79279E-7	0.07472	0.04018
-10.807529	1.86313E-7	0.03235	0.08311
-10.726574	4.79090E-7	0.07682	0.03929
-10.645618	1.86313E-7	0.03121	0.08458
-10.564663	4.72436E-7	0.07391	0.03899
-10.483708	1.33080E-7	0.03193	0.08372
-10.402752	4.05896E-7	0.07117	0.04026
-10.321797	1.73005E-7	0.03266	0.08352
-10.240842	4.12550E-7	0.07447	0.03908
-10.159887	1.79659E-7	0.03275	0.08329
-10.078931	3.26047E-7	0.07178	0.03898
-9.997976	1.99621E-7	0.03320	0.08199
-9.917021	3.39355E-7	0.07211	0.03805
-9.836066	1.46389E-7	0.03331	0.08481
-9.755110	3.12739E-7	0.07168	0.03904
-9.674155	1.92967E-7	0.03370	0.08336
-9.593200	3.59317E-7	0.07299	0.03857
-9.512244	2.19583E-7	0.03448	0.08457
-9.431289	4.12550E-7	0.07339	0.03951
-9.350334	2.06275E-7	0.03412	0.08446
-9.269379	3.85933E-7	0.07250	0.03808
-9.188423	1.99621E-7	0.03270	0.08545
-9.107468	3.32701E-7	0.07096	0.03814
-9.026513	1.39735E-7	0.03342	0.08312
-8.945558	5.05706E-7	0.07174	0.03705
-8.864602	1.73005E-7	0.03504	0.08519
-8.783647	3.79279E-7	0.07245	0.03749
-8.702692	1.79659E-7	0.03500	0.08667
-8.621736	3.46009E-7	0.07420	0.03588
-8.540781	2.12929E-7	0.03543	0.08294
-8.459826	3.06085E-7	0.07102	0.03716
-8.378871	2.52853E-7	0.03425	0.08650
-8.297915	4.65782E-7	0.07265	0.03717
-8.216960	1.19772E-7	0.03318	0.08484
-8.136005	3.92587E-7	0.07269	0.04082
-8.055050	1.46389E-7	0.03364	0.08460
-7.974094	3.65971E-7	0.07537	0.03667
-7.893139	1.26426E-7	0.03471	0.08387
-7.812184	3.39355E-7	0.07281	0.03951
-7.731228	1.66351E-7	0.03393	0.08579
-7.650273	4.19204E-7	0.07354	0.03902
-7.569318	1.26426E-7	0.03455	0.08606
-7.488363	4.12550E-7	0.07523	0.03901
-7.407407	2.39545E-7	0.03388	0.08609
-7.326452	4.05896E-7	0.07280	0.03819
-7.245497	1.92967E-7	0.03233	0.08609
-7.164542	3.79279E-7	0.07143	0.03889
-7.083586	1.59697E-7	0.03427	0.08568
-7.002631	3.92587E-7	0.07414	0.04005
-6.921676	1.86313E-7	0.03342	0.08551
-6.840721	4.92398E-7	0.07491	0.04118
-6.759765	2.12929E-7	0.03376	0.08704
-6.678810	4.25858E-7	0.07649	0.04105
-6.597855	2.12929E-7	0.03266	0.08717
-6.516899	4.45820E-7	0.07527	0.04045
-6.435944	9.98104E-8	0.03445	0.08434
